0	UNUSED	UNUSED   0	16383	16384
1	UNUSED	UNUSED   1	16383	16384
2	UNUSED	UNUSED   2	16383	16384
3	UNUSED	UNUSED  3	16383	16384
4	UNUSED	UNUSED  7	16383	16384
5	UNUSED	UNUSED  0	16383	16384
6	UNUSED	UNUSED  2	16383	16384
7	UNUSED	UNUSED  3	16383	16384
8	UNUSED	UNUSED  5	16383	16384
9	UNUSED	UNUSED  6	16383	16384
10	UNUSED	UNUSED  0	16383	16384
11	UNUSED	UNUSED  1	16383	16384
12	UNUSED	UNUSED  2	16383	16384
13	UNUSED	UNUSED  3	16383	16384
14	UNUSED	UNUSED  4	16383	16384
15	UNUSED	UNUSED	15	0	16384
16	C	BACK	0	16383	16384
17	C	BACK	1	16383	16384
18	C	BACK	2	16383	16384
19	C	BACK	3	16383	16384
20	C	BACK	4	16383	16384
21	C	BACK	6	16383	16384
22	D	BACK	0	16383	16384
23	D	BACK	1	16383	16384
24	D	BACK	2	16383	16384
25	D	BACK	3	16383	16384
26	D	BACK	4	16383	16384
27	D	BACK	5	16383	16384
28	D	BACK	6	16383	16384
29	E	BACK	5	16383	16384
30	E	BACK	6	16383	16384
31	E	FRONT	14	0	16384
32	UNUSED	UNUSED	0	16383	16384
33	UNUSED	UNUSED	0	16383	16384
34	UNUSED	UNUSED	0	16383	16384
35	UNUSED	UNUSED	0	16383	16384
36	UNUSED	UNUSED	0	0	16384
37	UNUSED	UNUSED	0	16383	16384
38	UNUSED	UNUSED	0	16383	16384
39	UNUSED	UNUSED	0	16383	16384
40	UNUSED	UNUSED	0	16383	16384
41	UNUSED	UNUSED	0	16383	16384
42	UNUSED	UNUSED	0	16383	16384
43	UNUSED	UNUSED	0	16383	16384
44	UNUSED	UNUSED	0	16383	16384
45	UNUSED	UNUSED	0	16383	16384
46	UNUSED	UNUSED	0	16383	16384
47	UNUSED	UNUSED	0	16383	16384
48	E	FRONT	0	0	16384
49	E	FRONT	1	16383	16384
50	E	FRONT	2	16383	16384
51	E	FRONT	3	16383	16384
52	E	FRONT	4	16383	16384
53	E	FRONT	5	16383	16384
54	E	FRONT	6	16383	16384
55	E	FRONT	7	16383	16384
56	E	FRONT	8	16383	16384
57	E	FRONT	9	16383	16384
58	E	FRONT	10	16383	16384
59	E	FRONT	11	16383	16384
60	E	FRONT	12	16383	16384
61	E	FRONT	13	16383	16384
62	E	BACK	7	16383	16384
63	B	BACK	7	16383	16384
64	D	FRONT	0	0	16384
65	D	FRONT	1	16383	16384
66	D	FRONT	2	16383	16384
67	D	FRONT	3	16383	16384
68	D	FRONT	4	16383	16384
69	D	FRONT	5	16383	16384
70	D	FRONT	6	16383	16384
71	D	FRONT	7	16383	16384
72	D	FRONT	8	16383	16384
73	D	FRONT	9	16383	16384
74	D	FRONT	10	16383	16384
75	D	FRONT	11	16383	16384
76	D	FRONT	12	16383	16384
77	D	FRONT	13	16383	16384
78	D	FRONT	14	16383	16384
79	D	FRONT	15	16383	16384
80	C	FRONT	0	0	16384
81	C	FRONT	1	16383	16384
82	C	FRONT	2	16383	16384
83	C	FRONT	3	16383	16384
84	C	FRONT	4	16383	16384
85	C	FRONT	5	16383	16384
86	C	FRONT	6	16383	16384
87	C	FRONT	7	16383	16384
88	C	FRONT	8	16383	16384
89	C	FRONT	9	16383	16384
90	C	FRONT	10	16383	16384
91	C	FRONT	11	16383	16384
92	C	FRONT	12	16383	16384
93	C	FRONT	13	16383	16384
94	C	FRONT	14	16383	16384
95	C	FRONT	15	16383	16384
96	B	FRONT	0	0	16384
97	B	FRONT	1	16383	16384
98	B	FRONT	2	16383	16384
99	B	FRONT	3	16383	16384
100	B	FRONT	4	16383	16384
101	B	FRONT	5	16383	16384
102	B	FRONT	6	16383	16384
103	B	FRONT	7	16383	16384
104	B	FRONT	8	16383	16384
105	B	FRONT	9	16383	16384
106	B	FRONT	10	16383	16384
107	B	FRONT	11	16383	16384
108	B	FRONT	12	16383	16384
109	B	FRONT	13	16383	16384
110	B	FRONT	14	16383	16384
111	B	FRONT	15	16383	16384
112	A	FRONT	0	0	16384
113	A	FRONT	1	16383	16384
114	A	FRONT	2	16383	16384
115	A	FRONT	3	16383	16384
116	A	FRONT	4	16383	16384
117	A	FRONT	5	16383	16384
118	A	FRONT	6	16383	16384
119	A	FRONT	7	16383	16384
120	A	FRONT	8	16383	16384
121	A	FRONT	9	16383	16384
122	A	FRONT	10	16383	16384
123	A	FRONT	11	16383	16384
124	A	FRONT	12	16383	16384
125	A	FRONT	13	16383	16384
126	A	FRONT	14	16383	16384
127	A	FRONT	15	16383	16384
